"panel","cohort","mechanism","endpoint","arm","score","estimand","n","events","non_events","log_odds","odds_ratio","ci_lower","ci_upper","p_value","label","Inflammation_z","probability","log_odds_active","log_odds_placebo"
"a_arm_effects","GSE92415","anti-TNF","Week 6 clinical response","Active","Inflammation_z","Response OR per 1-SD baseline score",59,32,27,-0.753354465396753,0.470784670153798,0.248801129763342,0.829189766775888,0.00824925961022493,"GSE92415 · Active",NA,NA,NA,NA
"a_arm_effects","GSE92415","anti-TNF","Week 6 clinical response","Placebo","Inflammation_z","Response OR per 1-SD baseline score",28,11,17,-0.313016204165538,0.731238063370253,0.355865741277516,1.43737768079271,0.363006500720642,"GSE92415 · Placebo",NA,NA,NA,NA
"a_arm_effects","GSE23597","anti-TNF","Week 8 clinical response","Active","Inflammation_z","Response OR per 1-SD baseline score",31,24,7,-0.750715118808066,0.472028875288987,0.158023872197995,1.1426076695892,0.0988863677031175,"GSE23597 · Active",NA,NA,NA,NA
"a_arm_effects","GSE23597","anti-TNF","Week 8 clinical response","Placebo","Inflammation_z","Response OR per 1-SD baseline score",13,5,8,0.016595787404341,1.01673426245773,0.37684214627347,2.83922498622811,0.97313296678668,"GSE23597 · Placebo",NA,NA,NA,NA
"a_arm_effects","GSE206285","anti-IL12/23","Week 8 clinical remission","Active","Inflammation_z","Response OR per 1-SD baseline score",364,49,315,-0.802452708638524,0.448228241513121,0.303739663003371,0.637730711156579,2.94926035282472e-06,"GSE206285 · Active",NA,NA,NA,NA
"a_arm_effects","GSE206285","anti-IL12/23","Week 8 clinical remission","Placebo","Inflammation_z","Response OR per 1-SD baseline score",186,14,172,-0.525960070457885,0.590987702078782,0.305964586730285,1.03471643205683,0.0665378525708397,"GSE206285 · Placebo",NA,NA,NA,NA
"b_interactions","GSE92415","anti-TNF","Week 6 clinical response",NA,"Inflammation_z","Treatment-by-score interaction OR",87,43,NA,-0.440338258804713,0.643818606934008,0.257135885651541,1.60498057856954,0.34072417295415,NA,NA,NA,NA,NA
"b_interactions","GSE23597","anti-TNF","Week 8 clinical response",NA,"Inflammation_z","Treatment-by-score interaction OR",44,29,NA,-0.767310922144138,0.464259822057857,0.109036016468309,1.75634957192882,0.260134262470609,NA,NA,NA,NA,NA
"b_interactions","GSE206285","anti-IL12/23","Week 8 clinical remission",NA,"Inflammation_z","Treatment-by-score interaction OR",550,63,NA,-0.276492687885701,0.758439164905257,0.383826569135118,1.5952426073759,0.448755767037369,NA,NA,NA,NA,NA
"c_absolute_risk_curves","GSE206285",NA,NA,"Placebo",NA,NA,NA,NA,NA,NA,NA,0.0691156156041237,0.280192824643557,NA,NA,-1.52624937095014,0.145302495340065,NA,NA
"c_absolute_risk_curves","GSE206285",NA,NA,"Placebo",NA,NA,NA,NA,NA,NA,NA,0.0689512558960798,0.273716311503966,NA,NA,-1.49307141086496,0.143148735873399,NA,NA
"c_absolute_risk_curves","GSE206285",NA,NA,"Placebo",NA,NA,NA,NA,NA,NA,NA,0.0687743548309782,0.267373361646027,NA,NA,-1.45989345077979,0.141021633322764,NA,NA
"c_absolute_risk_curves","GSE206285",NA,NA,"Placebo",NA,NA,NA,NA,NA,NA,NA,0.0685842806198231,0.26116560745187,NA,NA,-1.42671549069461,0.138921013709334,NA,NA
"c_absolute_risk_curves","GSE206285",NA,NA,"Placebo",NA,NA,NA,NA,NA,NA,NA,0.0683803723486204,0.255094516392282,NA,NA,-1.39353753060944,0.136846699395713,NA,NA
"c_absolute_risk_curves","GSE206285",NA,NA,"Placebo",NA,NA,NA,NA,NA,NA,NA,0.068161939929057,0.249161396549318,NA,NA,-1.36035957052427,0.134798509255864,NA,NA
"c_absolute_risk_curves","GSE206285",NA,NA,"Placebo",NA,NA,NA,NA,NA,NA,NA,0.0679282643778843,0.243367402210046,NA,NA,-1.32718161043909,0.132776258842523,NA,NA
"c_absolute_risk_curves","GSE206285",NA,NA,"Placebo",NA,NA,NA,NA,NA,NA,NA,0.067678598496967,0.237713539410287,NA,NA,-1.29400365035392,0.130779760552044,NA,NA
"c_absolute_risk_curves","GSE206285",NA,NA,"Placebo",NA,NA,NA,NA,NA,NA,NA,0.0674121680352306,0.232200671298756,NA,NA,-1.26082569026874,0.128808823786594,NA,NA
"c_absolute_risk_curves","GSE206285",NA,NA,"Placebo",NA,NA,NA,NA,NA,NA,NA,0.0671281734229368,0.226829523183874,NA,NA,-1.22764773018357,0.126863255113637,NA,NA
"c_absolute_risk_curves","GSE206285",NA,NA,"Placebo",NA,NA,NA,NA,NA,NA,NA,0.0668257921773844,0.221600687118314,NA,NA,-1.1944697700984,0.124942858422656,NA,NA
"c_absolute_risk_curves","GSE206285",NA,NA,"Placebo",NA,NA,NA,NA,NA,NA,NA,0.0665041820865827,0.216514625870491,NA,NA,-1.16129181001322,0.123047435079042,NA,NA
"c_absolute_risk_curves","GSE206285",NA,NA,"Placebo",NA,NA,NA,NA,NA,NA,NA,0.0661624852828396,0.211571676128774,NA,NA,-1.12811384992805,0.12117678407513,NA,NA
"c_absolute_risk_curves","GSE206285",NA,NA,"Placebo",NA,NA,NA,NA,NA,NA,NA,0.0657998333204679,0.206772050783979,NA,NA,-1.09493588984287,0.119330702178315,NA,NA
"c_absolute_risk_curves","GSE206285",NA,NA,"Placebo",NA,NA,NA,NA,NA,NA,NA,0.0654153533696613,0.202115840140083,NA,NA,-1.0617579297577,0.117508984076228,NA,NA
"c_absolute_risk_curves","GSE206285",NA,NA,"Placebo",NA,NA,NA,NA,NA,NA,NA,0.0650081756305487,0.197603011913519,NA,NA,-1.02857996967253,0.115711422518936,NA,NA
"c_absolute_risk_curves","GSE206285",NA,NA,"Placebo",NA,NA,NA,NA,NA,NA,NA,0.0645774420558754,0.193233409899401,NA,NA,-0.995402009587353,0.113937808458136,NA,NA
"c_absolute_risk_curves","GSE206285",NA,NA,"Placebo",NA,NA,NA,NA,NA,NA,NA,0.0641223164460264,0.189006751210252,NA,NA,-0.962224049502179,0.112187931183332,NA,NA
"c_absolute_risk_curves","GSE206285",NA,NA,"Placebo",NA,NA,NA,NA,NA,NA,NA,0.0636419959446396,0.184922622030793,NA,NA,-0.929046089417005,0.110461578454957,NA,NA
"c_absolute_risk_curves","GSE206285",NA,NA,"Placebo",NA,NA,NA,NA,NA,NA,NA,0.0631357239156296,0.180980471882339,NA,NA,-0.895868129331831,0.108758536634459,NA,NA
"c_absolute_risk_curves","GSE206285",NA,NA,"Placebo",NA,NA,NA,NA,NA,NA,NA,0.0626028041224236,0.177179606452817,NA,NA,-0.862690169246657,0.107078590811302,NA,NA
"c_absolute_risk_curves","GSE206285",NA,NA,"Placebo",NA,NA,NA,NA,NA,NA,NA,0.0620426160578839,0.173519179123265,NA,NA,-0.829512209161483,0.105421524926923,NA,NA
"c_absolute_risk_curves","GSE206285",NA,NA,"Placebo",NA,NA,NA,NA,NA,NA,NA,0.0614546311903094,0.169998181407137,NA,NA,-0.79633424907631,0.103787121895597,NA,NA
